City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,72.99,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Rikitea,PF,74.62,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Bredasdorp,ZA,61.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Constitucion,CL,60.98,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
15,Portland,US,60.94,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
19,Iquique,CL,62.64,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
22,Laurel,US,72.73,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
27,Lata,PT,67.08,few clouds,40.1629,-8.3327,Casa Maquia
29,Mar Del Plata,AR,62.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
35,Hermanus,ZA,65.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Dolores,AR,60.37,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
42,Hasaki,JP,66.6,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
52,Katsuura,JP,72.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
53,Guaruja,BR,73.17,moderate rain,-23.9931,-46.2564,Charme Hotel Guarujá
58,Mount Isa,AU,67.77,moderate rain,-20.7333,139.5,ibis Styles Mt Isa Verona
70,Komoro,JP,61.36,clear sky,36.3167,138.4333,Komoro Grand Castle Hotel
72,Abha,SA,66.02,clear sky,18.2164,42.5053,Abha Hotel
73,Asfi,MA,68.88,overcast clouds,32.2994,-9.2372,Hôtel Abda
74,Cidreira,BR,65.25,overcast clouds,-30.1811,-50.2056,Hotel Castelo
76,Chuy,UY,60.58,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
78,Nemuro,JP,63.52,heavy intensity rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
81,Hualmay,PE,66.78,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
82,Sheridan,US,67.01,few clouds,44.8333,-106.9173,Comfort Inn & Suites
84,Charters Towers,AU,68.56,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
90,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
112,Menongue,AO,73.18,scattered clouds,-14.6585,17.691,Ritz Lauca
124,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
127,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
128,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
136,Izumo,JP,71.55,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
137,Poum,NC,74.32,few clouds,-20.2333,164.0167,Gîte kajeon
138,Huilong,CN,74.03,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
140,Tacuarembo,UY,65.16,moderate rain,-31.7333,-55.9833,Complejo San Fructuoso
144,Nampula,MZ,73.35,clear sky,-15.1165,39.2666,BUTIK Hotel
145,Faya,SA,66.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
146,Port Elizabeth,ZA,61.09,few clouds,-33.918,25.5701,39 On Nile Guest House
147,Marquette,US,71.82,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
148,Ribeira Grande,PT,70.9,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
157,Boyolangu,ID,74.84,overcast clouds,-8.1181,111.8935,Yos ega cv
162,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
164,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Arraial Do Cabo,BR,67.86,light rain,-22.9661,-42.0278,Pousada Porto Praia
178,San Carlos De Bariloche,AR,60.55,clear sky,-41.1456,-71.3082,Hotel Patagonia
179,Nantucket,US,62.65,light rain,41.2835,-70.0995,Jared Coffin House
196,Sakaiminato,JP,71.58,few clouds,35.55,133.2333,味処・民宿 まつや
200,Bremerton,US,60.26,light rain,47.5673,-122.6326,Hampton Inn & Suites Bremerton
203,Tatawin,TN,68.88,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
207,Santa Isabel,BR,65.66,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
217,Namie,JP,68.97,clear sky,37.4833,141.0,いこいの村なみえ
220,Saint-Philippe,RE,71.15,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
223,Shimoda,JP,71.71,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
227,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Punto de encuentro
228,Viedma,AR,73.74,clear sky,-40.8135,-62.9967,Hotel Cristal
230,Sakata,JP,70.99,scattered clouds,38.9167,139.855,Hotel Rich & Garden Sakata
232,Balaguer,ES,60.42,clear sky,41.7912,0.8109,Hotel Balaguer
235,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
241,Zhuji,CN,67.91,overcast clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
247,Emerald,AU,72.99,scattered clouds,-23.5333,148.1667,The Irish Village
248,Rabo De Peixe,PT,69.31,broken clouds,37.8,-25.5833,Quinta das Giestas
252,Belle Fourche,US,68.88,clear sky,44.6714,-103.8522,Kings Inn
256,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
260,Lagoa,PT,71.13,overcast clouds,39.05,-27.9833,Casa Das Faias
261,Bethel,US,64.2,haze,41.3712,-73.414,Courtyard by Marriott Danbury
263,Brigantine,US,70.07,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
264,Camacha,PT,69.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
269,Santona,ES,62.08,broken clouds,43.4439,-3.4576,Playamar
270,Airai,TL,60.84,overcast clouds,-8.9266,125.4092,Juvinal Martin
273,Mananara,MG,64.92,few clouds,-16.1667,49.7667,Chez Roger
274,Necochea,AR,61.11,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
275,Saint George,US,73.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
276,Waingapu,ID,75.0,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
277,Fortuna,US,70.48,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
286,Karratha,AU,72.73,clear sky,-20.7377,116.8463,ibis Styles Karratha
287,Roma,US,71.44,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
292,Bobcaygeon,CA,67.64,overcast clouds,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
297,Marawi,PH,68.65,overcast clouds,7.9986,124.2928,Derogongan Residence
298,Port Alfred,ZA,60.24,few clouds,-33.5906,26.891,The Halyards Hotel
302,Mwene-Ditu,CD,70.63,overcast clouds,-7.0,23.45,Hôtel Kamas
306,Xuddur,SO,74.39,broken clouds,4.1213,43.8894,Banjanay Hotel
312,Inhambane,MZ,68.9,clear sky,-23.865,35.3833,Oceano
322,Baghmara,IN,73.96,clear sky,23.795,86.2085,Shankar tea shop
327,Buxar,IN,74.1,clear sky,25.5833,83.9833,Honda Service Center
332,Minot,US,68.11,scattered clouds,48.2325,-101.2963,Noble Inn
334,Dengzhou,CN,60.49,light rain,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
339,Tateyama,JP,72.1,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
340,Mbandaka,CD,71.24,overcast clouds,0.0487,18.2603,Guest House Epervier
348,Sale,MA,64.42,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
352,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
355,Marquetalia,CO,70.45,overcast clouds,5.2966,-75.055,Hotel Sara Sofia
361,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
364,Caravelas,BR,73.06,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
368,Kano,NG,67.89,clear sky,12.0001,8.5167,Havana Guest Inn
369,Concordia,AR,66.27,thunderstorm with rain,-31.393,-58.0209,Palmar Hotel Casino
370,Uige,AO,71.98,overcast clouds,-7.6087,15.0613,Hotel Catraio
380,Wau,SS,73.53,overcast clouds,7.7029,27.9953,Universal Gab Hotel
385,Fereydun Kenar,IR,64.22,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
393,Bondoukou,CI,72.84,light rain,8.0333,-2.8,Prestige Hotel
405,Upington,ZA,61.18,few clouds,-28.4478,21.2561,River Place Manor
410,Kaihua,CN,60.21,light rain,23.3687,104.28,Zhongyu Hotel
413,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
414,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
417,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Hotel do Campo
418,Namibe,AO,68.54,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
419,Sonepur,IN,72.61,few clouds,20.8333,83.9167,Hotel Progress INN
424,Behat,IN,71.04,clear sky,30.1667,77.6167,New Taj Gupta Transport Agency
435,Port Hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
437,Caluquembe,AO,74.19,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
440,Rincon De La Victoria,ES,74.44,overcast clouds,36.7172,-4.2758,Hotel Elimar
448,Kitgum,UG,68.47,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
