City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,72.99,73,40,5.99,scattered clouds
1,Vaini,TO,-21.2,-175.2,77.16,83,75,4.61,broken clouds
2,Mataura,NZ,-46.1927,168.8643,47.48,88,100,2.59,light rain
3,Rikitea,PF,-23.1203,-134.9692,74.62,80,97,19.73,overcast clouds
4,Kodiak,US,57.79,-152.4072,47.71,49,1,3.44,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,61.29,87,70,3.44,broken clouds
6,Khani,GE,41.9563,42.9566,49.57,76,3,4.5,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,51.91,37,20,31.07,few clouds
8,Cabinda,AO,-5.55,12.2,76.23,79,100,9.08,overcast clouds
9,Albany,US,42.6001,-73.9662,66.16,80,95,6.55,overcast clouds
10,Hobart,AU,-42.8794,147.3294,46.26,75,20,1.99,few clouds
11,Pevek,RU,69.7008,170.3133,22.57,92,100,7.49,overcast clouds
12,Constitucion,CL,-35.3333,-72.4167,60.98,60,0,14.79,clear sky
13,Bluff,NZ,-46.6,168.3333,47.8,90,100,5.1,overcast clouds
14,Balangiga,PH,11.1097,125.3875,81.21,82,94,16.17,overcast clouds
15,Portland,US,45.5234,-122.6762,60.94,70,75,1.01,broken clouds
16,Ushuaia,AR,-54.8,-68.3,51.42,40,40,20.71,light rain
17,Castro,BR,-24.7911,-50.0119,57.63,93,100,9.22,overcast clouds
18,Tiksi,RU,71.6872,128.8694,29.01,98,100,6.44,light snow
19,Iquique,CL,-20.2208,-70.1431,62.64,72,29,11.81,scattered clouds
20,Faanui,PF,-16.4833,-151.75,79.14,76,41,13.27,scattered clouds
21,Rypefjord,NO,70.6333,23.6667,45.07,87,75,0.0,broken clouds
22,Laurel,US,39.0993,-76.8483,72.73,85,90,3.0,overcast clouds
23,Kuliyapitiya,LK,7.4688,80.0401,75.7,93,100,6.4,overcast clouds
24,Tessalit,ML,20.1986,1.0114,87.03,10,93,7.78,overcast clouds
25,Hamilton,US,39.1834,-84.5333,84.74,62,1,1.01,clear sky
26,Busselton,AU,-33.65,115.3333,55.09,73,96,15.12,overcast clouds
27,Lata,PT,40.1629,-8.3327,67.08,53,15,4.59,few clouds
28,Shu,KZ,43.5983,73.7614,44.87,71,100,11.1,overcast clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,62.01,56,0,14.0,clear sky
30,Cherskiy,RU,68.75,161.3,0.46,98,87,5.55,overcast clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,6.91,light snow
32,Sitka,US,57.0531,-135.33,51.69,71,20,4.61,light rain
33,Saldanha,ZA,-33.0117,17.9442,59.05,58,77,9.66,broken clouds
34,Torbay,CA,47.6666,-52.7314,45.28,79,20,16.11,few clouds
35,Hermanus,ZA,-34.4187,19.2345,65.89,67,98,7.85,overcast clouds
36,Solnechnyy,RU,50.7214,136.6319,40.51,87,100,8.48,heavy intensity rain
37,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,67,7.0,broken clouds
38,Ewa Beach,US,21.3156,-158.0072,87.75,54,1,14.97,clear sky
39,Yangjiang,CN,21.85,111.9667,79.95,89,82,6.08,light rain
40,Dolores,AR,-36.3132,-57.6792,60.37,77,64,10.58,broken clouds
41,Huangnihe,CN,43.5583,128.0239,37.92,77,0,6.8,clear sky
42,Hasaki,JP,35.7333,140.8333,66.6,73,54,14.85,broken clouds
43,Half Moon Bay,US,37.4636,-122.4286,81.91,57,1,1.01,clear sky
44,Kitimat,CA,54.0524,-128.6534,50.92,66,99,3.0,light rain
